contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error
NVDA260320P00135000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,135.0,0.27,0.275,0.28,0.27,182.48,,0.0,0.275,105,28,52154,3977,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.275,0.7398071021481807,-0.30136579953770304,0.03636363636363639,0.7177075284910401,0.2749999999937076,-6.292411036668e-12
NVDA260320P00140000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,140.0,0.39,0.395,0.4,0.39,182.48,,0.0,0.395,201,25,55388,2918,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.395,0.7672073651907059,-0.26499815536682825,0.025316455696202552,0.686751000307525,0.3950000000000138,1.3766765505351941e-14
NVDA260320P00145000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,145.0,0.55,0.565,0.58,0.55,182.48,,0.0,0.565,62,56,41472,1153,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.565,0.7946076282332311,-0.22990683555555816,0.053097345132743216,0.6563325113989708,0.5649999999992446,-7.553957459549565e-13
NVDA260320P00150000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,150.0,0.79,0.8,0.81,0.8,182.48,,0.0,0.8,178,23,52558,3676,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.8,0.8220078912757562,-0.19600528387987684,0.025000000000000022,0.6254887824524223,0.8000000000000025,2.4424906541753444e-15
NVDA260320P00155000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,155.0,1.12,1.135,1.15,1.14,182.48,,0.0,1.135,79,20,42509,10794,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,1.135,0.8494081543182815,-0.16321546105688586,0.026431718061673836,0.5959348535433239,1.1349999999987368,-1.2632117574185031e-12
NVDA260320P00160000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,160.0,1.6,1.62,1.64,1.61,182.48,,0.0,1.62,100,39,69808,11315,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,1.62,0.8768084173608067,-0.1314667627423056,0.024691358024691242,0.5687392568911117,1.6199999999521992,-4.780087436984104e-11
NVDA260320P00165000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,165.0,2.29,2.3,2.31,2.28,182.48,,0.0,2.3,72,3,50920,9055,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,2.3,0.9042086804033319,-0.10069510407555193,0.008695652173913052,0.542449262947132,2.29999999999999,-9.769962616701378e-15
NVDA260320P00167500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,167.5,2.73,2.75,2.77,2.71,182.48,,0.0,2.75,11,9,5297,2466,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,2.75,0.9179088119245945,-0.08565722671101143,0.014545454545454558,0.5310667318407365,2.7499999999933493,-6.650680006714538e-12
NVDA260320P00170000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,170.0,3.25,3.275,3.3,3.25,182.48,,0.0,3.275,90,55,69641,9983,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,3.275,0.9316089434458571,-0.07084214092587081,0.01526717557251903,0.5197148081553604,3.275000000095403,9.54032408628791e-11
NVDA260320P00172500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,172.5,3.85,3.9,3.95,3.88,182.48,,0.0,3.9,78,37,3786,3633,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,3.9,0.9453090749671197,-0.05624334150471814,0.025641025641025664,0.5095335599659211,3.9000000000000057,5.773159728050814e-15
NVDA260320P00175000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,175.0,4.55,4.6,4.65,4.6,182.48,,0.0,4.6,1397,37,59697,8857,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,4.6,0.9590092064883824,-0.04185460405261843,0.021739130434782726,0.49795231178590343,4.599999999992576,-7.423395231853647e-12
NVDA260320P00177500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,177.5,5.35,5.4,5.45,5.45,182.48,,0.0,5.4,47,37,2763,2799,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,5.4,0.972709338009645,-0.02766996906066201,0.018518518518518615,0.48620081186419145,5.400000000178537,1.7853629685760097e-10
NVDA260320P00180000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,180.0,6.3,6.35,6.4,6.35,182.48,,0.0,6.35,87,35,88863,13077,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,6.35,0.9864094695309076,-0.013683727085922132,0.01574803149606308,0.4768476151793886,6.3500000000000085,8.881784197001252e-15
NVDA260320P00182500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,182.5,7.4,7.425,7.45,7.4,182.48,,0.02,7.405,52,5,4184,2825,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,7.425,1.0001096010521702,0.00010959504641367421,0.00673400673400671,0.46765312819721855,7.424999999999997,-2.6645352591003757e-15
NVDA260320P00185000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,185.0,8.6,8.65,8.7,8.65,182.48,,2.52,6.13,121,6,68957,3378,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,8.65,1.0138097325734328,0.013715247102192287,0.011560693641618455,0.45978548231521843,8.649999999999991,-8.881784197001252e-15
NVDA260320P00187500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,187.5,10.0,10.05,10.1,10.0,182.48,,5.02,5.03,26,22,3880,480,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,10.05,1.0275098640946954,0.027138267434332963,0.009950248756218869,0.45462897245212347,10.050000000057707,5.7706728284756537e-11
NVDA260320P00190000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,190.0,11.5,11.575,11.65,11.43,182.48,,7.52,4.055,19,30,48004,1767,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,11.575,1.041209995615958,0.04038349418435359,0.012958963282937396,0.4491534821198174,11.57499999999203,-7.968736781549524e-12
NVDA260320P00192500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,192.5,13.15,13.225,13.3,13.3,182.48,,10.02,3.205,36,11,2662,230,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,13.225,1.0549101271372205,0.05345557575170635,0.011342155009451823,0.4435554989071737,13.224999999999966,-3.375077994860476e-14
NVDA260320P00195000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,195.0,14.95,15.025,15.1,14.8,182.48,,12.52,2.505,62,2,20780,2190,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,15.025,1.0686102586584831,0.06635898058761422,0.009983361064891871,0.4400904733960724,15.025000000000006,5.329070518200751e-15
NVDA260320P00197500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,197.5,16.9,16.975,17.05,16.9,182.48,,15.02,1.955,52,2,3053,209,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,16.975,1.0823103901797457,0.07909800636504397,0.008836524300441951,0.43999222573199354,16.974999999999994,-7.105427357601002e-15
NVDA260320P00200000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,200.0,18.9,19.025,19.15,18.75,182.48,,17.52,1.505,44,30,24287,1227,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,19.025,1.0960105217010083,0.09167678857190407,0.01314060446780552,0.44074117803907714,19.025000000000006,7.105427357601002e-15
NVDA260320P00202500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,202.5,21.0,21.1,21.2,25.3,182.48,,20.02,1.08,10,5,1610,0,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,21.1,1.109710653222271,0.10409930857046122,0.009478672985781957,0.43609517251355934,21.099999999999966,-3.552713678800501e-14
NVDA260320P00205000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,205.0,23.1,23.375,23.65,23.57,182.48,,22.52,0.855,52,52,634,49,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,23.375,1.1234107847435335,0.11636940116227557,0.02352941176470576,0.4454394125031792,23.375000000073385,7.338485374930315e-11
NVDA260320P00207500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,207.5,25.3,25.55,25.8,22.2,182.48,,25.02,0.53,12,13,123,0,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,25.55,1.137110916264796,0.12849076169462037,0.019569471624266144,0.436339302573193,25.549999999963944,-3.6056491126146284e-11
