contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error
META260320C00657500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,657.5,17.45,17.525,17.6,18.05,653.56,,0.0,17.525,5,9,346,155,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,17.525,1.0060285207173023,0.006010421889297,0.00855920114122694,0.3271115218131116,17.524999999972692,-2.730615733526065e-11
META260320C00660000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,660.0,16.2,16.275,16.35,16.7,653.56,,0.0,16.275,5,45,2700,420,False,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,16.275,1.0098537242181285,0.009805492857848526,0.009216589861751284,0.32493026586602747,16.275000000000034,3.552713678800501e-14
META260320C00662500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,662.5,14.95,15.05,15.15,14.65,653.56,,0.0,15.05,2,1,109,170,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,15.05,1.0136789277189546,0.013586215697754487,0.013289036544850568,0.32226534158935755,15.050000000000068,6.750155989720952e-14
META260320C00665000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,665.0,13.85,13.925,14.0,13.2,653.56,,0.0,13.925,5,1,2361,313,False,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,13.925,1.017504131219781,0.017352698493231487,0.010771992818671479,0.3204161156300528,13.925000000018372,1.837108243307739e-11
META260320C00667500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,667.5,12.75,12.85,12.95,12.1,653.56,,0.0,12.85,5,20,233,133,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,12.85,1.0213293347206072,0.021105048111781856,0.015564202334630295,0.3185134403652422,12.849999998663009,-1.3369909623861531e-09
META260320C00670000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,670.0,11.75,11.825,11.9,12.28,653.56,,0.0,11.825,2,1,4360,474,False,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,11.825,1.0251545382214335,0.024843370222389135,0.012684989429175507,0.31655641568567505,11.824999999999818,-1.8118839761882555e-13
META260320C00672500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,672.5,10.75,10.85,10.95,10.8,653.56,,0.0,10.85,4,4,574,93,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,10.85,1.0289797417222597,0.028567769313371478,0.018433179723502238,0.31454596080170444,10.849999999965036,-3.496403166991513e-11
META260320C00675000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,675.0,9.8,9.9,10.0,9.97,653.56,,0.0,9.9,60,3,2568,187,False,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,9.9,1.0328049452230859,0.03227834870990705,0.02020202020202013,0.3120153318234827,9.89999999999992,-7.993605777301127e-14
META260320C00677500,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,677.5,9.0,9.1,9.2,8.67,653.56,,0.0,9.1,1,13,137,98,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,9.1,1.0366301487239122,0.03597521059123332,0.0219780219780219,0.31134176770283795,9.100000000000023,2.3092638912203256e-14
META260320C00680000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,680.0,8.2,8.275,8.35,8.55,653.56,,0.0,8.275,7,28,4833,661,False,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,8.275,1.0404553522247384,0.03965845600752965,0.018126888217522702,0.3092268599135159,8.275000000001313,1.312727704316785e-12
META260320C00685000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,685.0,6.75,6.85,6.95,7.1,653.56,,0.0,6.85,15,16,2165,343,False,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,6.85,1.048105759226391,0.04698449609960261,0.02919708029197083,0.30654038596891237,6.849999999999369,-6.306066779870889e-13
META260320C00690000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,690.0,5.5,5.6,5.7,5.75,653.56,,0.0,5.6,67,46,7245,2960,False,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,5.6,1.0557561662280435,0.05425725542868243,0.03571428571428575,0.3036353375846786,5.600000000000023,2.3092638912203256e-14
META260320C00695000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,695.0,4.5,4.575,4.65,4.45,653.56,,0.0,4.575,1,28,1295,111,False,2025-07-17 13:30:00,2026-03-02 21:00:00,,,,,,4.575,1.063406573229696,0.061477503402169544,0.03278688524590172,0.3019974794719205,4.574999999999889,-1.1102230246251565e-13
META260320C00700000,META,META,call,2026-03-02,2026-03-20,18,0.049281314168377825,700.0,3.65,3.7,3.75,3.7,653.56,,0.0,3.7,5,46,20402,2171,False,2025-01-24 14:30:00,2026-03-02 21:00:00,,,,,,3.7,1.0710569802313483,0.06864599288078192,0.02702702702702705,0.30032565793994903,3.699999999999946,-5.417888360170764e-14
