contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error,model_vol,model_price,price_error,abs_price_error,relative_price_error,abs_relative_price_error,vol_error,abs_vol_error,maturity_bucket,moneyness_bucket
NVDA260320C00143000,NVDA,NVDA,call,2026-03-06,2026-03-20,14,0.038329911019849415,143.0,34.4,35.95,37.5,0.0,177.82,,34.82,1.13,58,1,0,0,True,2026-03-05 14:30:00,2026-03-06 21:00:00,,,,,,35.95,0.8041840062985042,-0.21792717243308557,0.08623087621696804,0.8105446572209863,35.950000000000045,4.263256414560601e-14,0.7521620587289082,35.69026106360238,-0.2597389363976248,0.2597389363976248,-0.007225005184913067,0.007225005184913067,-0.058382598492078164,0.058382598492078164,0.04,otm_put/itm_call
NVDA260320P00192500,NVDA,NVDA,put,2026-03-05,2026-03-20,15,0.04106776180698152,192.5,11.7,11.775,11.85,12.5,183.34,,9.16,2.615,14,16,2735,69,True,2026-02-23 14:30:00,2026-03-05 21:00:00,,,,,,11.775,1.0499618195701974,0.04875380119420933,0.012738853503184744,0.41774296713716863,11.775000000000333,3.3217872896784684e-13,0.4336852295808936,11.982718266244476,0.2077182662444752,0.2077182662444752,0.01764061709082592,0.01764061709082592,0.015942262443724986,0.015942262443724986,0.04,atm
NVDA260320C00180000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,180.0,9.05,9.1,9.15,9.2,182.48,,2.48,6.62,87,7,55353,16057,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,9.1,0.9864094695309076,-0.013683727085922132,0.01098901098901095,0.47710482285292216,9.09999999999998,-1.9539925233402755e-14,0.47850270756598334,9.1221614194083,0.02216141940830063,0.02216141940830063,0.0024353208140989705,0.0024353208140989705,0.0013978847130611816,0.0013978847130611816,0.05,atm
NVDA260320C00210000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,210.0,0.38,0.385,0.39,0.38,180.05,,0.0,0.385,132,34,123150,15634,False,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,0.385,1.16634268258817,0.15387294062258447,0.025974025974025997,0.4317431591445297,0.38499999999273626,-7.263745160912549e-12,0.46386624106330404,0.5393917613039587,0.1543917613039587,0.1543917613039587,0.40101756182846415,0.40101756182846415,0.03212308191877433,0.03212308191877433,0.05,otm_call/itm_put
NVDA260320C00160000,NVDA,NVDA,call,2026-03-06,2026-03-20,14,0.038329911019849415,160.0,20.45,20.575,20.7,20.95,177.82,,17.82,2.755,30,1,62579,192,True,2025-01-15 14:30:00,2026-03-06 21:00:00,,,,,,20.575,0.899786300753571,-0.105597987459166,0.012150668286755772,0.6679131469764267,20.575000000000003,3.552713678800501e-15,0.6076393323281506,20.025732178585073,-0.5492678214149258,0.5492678214149258,-0.026695884394407086,0.026695884394407086,-0.06027381464827608,0.06027381464827608,0.04,otm_put/itm_call
NVDA260320P00167500,NVDA,NVDA,put,2026-03-04,2026-03-20,16,0.04380561259411362,167.5,2.55,2.565,2.58,2.56,183.04,,0.0,2.565,3,7,5741,7563,False,2026-02-23 14:30:00,2026-03-04 21:00:00,,,,,,2.565,0.9151005244755245,-0.08872135692631195,0.011695906432748635,0.5563968995317808,2.5649999998918744,-1.081255085466637e-10,0.5735741317690379,2.7524797597786588,0.18747975977865883,0.18747975977865883,0.07309152428017889,0.07309152428017889,0.01717723223725709,0.01717723223725709,0.04,otm_put/itm_call
NVDA260320P00212500,NVDA,NVDA,put,2026-03-06,2026-03-20,14,0.038329911019849415,212.5,33.35,34.9,36.45,31.56,177.82,,34.68,0.22,59,2,93,25,True,2026-02-23 14:30:00,2026-03-06 21:00:00,,,,,,34.9,1.1950286806883366,0.17817018567147863,0.08882521489971351,0.556691134292362,34.89999999999998,-2.1316282072803006e-14,0.4934521995569502,34.682443534378194,-0.2175564656218043,0.2175564656218043,-0.006233709616670611,0.006233709616670611,-0.06323893473541187,0.06323893473541187,0.04,otm_call/itm_put
NVDA260320C00170000,NVDA,NVDA,call,2026-03-04,2026-03-20,16,0.04380561259411362,170.0,16.3,16.35,16.4,16.4,183.04,,13.04,3.31,28,8,25602,4165,True,2025-01-15 14:30:00,2026-03-04 21:00:00,,,,,,16.35,0.9287587412587412,-0.07390627114117132,0.0061162079510702055,0.5461750079872971,16.349999999999994,-7.105427357601002e-15,0.5543929499782675,16.447566731855446,0.09756673185544429,0.09756673185544429,0.005967384211342157,0.005967384211342157,0.008217941990970368,0.008217941990970368,0.04,otm_put/itm_call
NVDA260320P00134000,NVDA,NVDA,put,2026-03-06,2026-03-20,14,0.038329911019849415,134.0,0.5,0.52,0.54,0.61,177.82,,0.0,0.52,87,8,47,63,False,2026-03-05 14:30:00,2026-03-06 21:00:00,,,,,,0.52,0.7535710268811158,-0.2829320027420815,0.07692307692307698,0.8706327896606066,0.5200000000396701,3.9670045026696243e-11,0.8263727323319019,0.39684881241208014,-0.12315118758791987,0.12315118758791987,-0.2368292068998459,0.2368292068998459,-0.04426005732870475,0.04426005732870475,0.04,deep_otm_put/itm_call
NVDA260320P00192500,NVDA,NVDA,put,2026-03-06,2026-03-20,14,0.038329911019849415,192.5,16.2,16.325,16.45,15.75,177.82,,14.68,1.645,4,7,2760,266,True,2026-02-23 14:30:00,2026-03-06 21:00:00,,,,,,16.325,1.0825553930941403,0.07932435103484613,0.015313935681470138,0.4694864130009675,16.325000000000074,7.460698725481052e-14,0.4352648895561346,15.990690177323074,-0.334309822676925,0.334309822676925,-0.020478396488632467,0.020478396488632467,-0.03422152344483287,0.03422152344483287,0.04,otm_call/itm_put
